Institution,Institution_Country,Institution_State,Institution_Region_Census,Institution_Division_Census,Region (https://www.aamc.org/career-development/affinity-groups/gsa/member-schools-region#negsa)
Westfield State University,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Southeastern Massachusetts University,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Michigan State Univ. College of Human Medicine,USA,Michigan,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Catholic University of Louvain,Belgium,NA,NA,NA,NA
MICHIGAN STATE UNIVERSITY,USA,Michigan,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Carol Davila University of Medicine and Pharmacy,Romania,NA,NA,NA,NA
Chengalpattu Medical College,India,NA,NA,NA,NA
Wayne State Univ. School of Medicine (Michigan),USA,Michigan,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
National Taiwan University Faculty of Medicine,Taiwan,NA,NA,NA,NA
Oakland University,USA,Michigan,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
University of Michigan Medical School,USA,Michigan,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
University of Michigan,USA,Michigan,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Macomb County Community College,USA,Michigan,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
University of the East,Philippines,NA,NA,NA,NA
University of Detroit Mercy,USA,Michigan,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Kansas City University of Medicine and Biosciences,USA,Missouri,2 - MIDWEST,4 - WEST NORTH CENTRAL,
Kirksville College of Osteopathic Medicine,USA,Missouri,2 - MIDWEST,4 - WEST NORTH CENTRAL,
Pontificia Universidad Javeriana,Colombia,NA,NA,NA,NA
Washington University School of Med. (St. Louis),USA,Missouri,2 - MIDWEST,4 - WEST NORTH CENTRAL,
St. Louis University School of Medicine,USA,Missouri,2 - MIDWEST,4 - WEST NORTH CENTRAL,
St Louis University,USA,Missouri,2 - MIDWEST,4 - WEST NORTH CENTRAL,
University of Missouri at Kansas City Sch. of Med.,USA,Missouri,2 - MIDWEST,4 - WEST NORTH CENTRAL,
University of Port Harcourt,Nigeria,NA,NA,NA,NA
Kansas City University of Medicine & Biosciences,USA,Missouri,2 - MIDWEST,4 - WEST NORTH CENTRAL,
Maryville University,USA,Missouri,2 - MIDWEST,4 - WEST NORTH CENTRAL,
St. Joseph University,Lebanon,NA,NA,NA,NA
GOLDFARB SCHOOL OF NURSING AT BARNES -JEWISH COLLE,USA,Missouri,2 - MIDWEST,4 - WEST NORTH CENTRAL,
Central University of Venezuela (Jose Vargas),Venezuela,NA,NA,NA,NA
Eberhard Karls University of Tubingen,Germany,NA,NA,NA,NA
University of Health Sciences Coll. of Osteo. Med.,USA,NA,NA,NA,
Omsk State Medical Academy,Russia,NA,NA,NA,NA
Pham Ngoc Thach University- Vietnam,Vietnam,NA,NA,NA,NA
NEBRASKA METHODIST,USA,Nebraska,2 - MIDWEST,4 - WEST NORTH CENTRAL,
Nantong Medical College,China,NA,NA,NA,NA
Creighton University School of Medicine,USA,Nebraska,2 - MIDWEST,4 - WEST NORTH CENTRAL,
University of Nebraska Medical Center,USA,Nebraska,2 - MIDWEST,4 - WEST NORTH CENTRAL,
University of Chile,Chile,NA,NA,NA,NA
University of Nebraska College of Medicine,USA,Nebraska,2 - MIDWEST,4 - WEST NORTH CENTRAL,
Creighton University,USA,Nebraska,2 - MIDWEST,4 - WEST NORTH CENTRAL,
Dartmouth Medical School,USA,New Hampshire,1 - NORTHEAST,1 - NEW ENGLAND,
UNIVERSITY OF NEW HAMPSHIRE,USA,New Hampshire,1 - NORTHEAST,1 - NEW ENGLAND,
UMDNJ New Jersey Medical School,USA,New Jersey,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
University of Bergen,Norway,NA,NA,NA,NA
Rowan University School of Osteopathic Medicine,USA,New Jersey,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
UMDNJ Robert Wood Johnson Medical School,USA,New Jersey,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
University of Aleppo,Syria,NA,NA,NA,NA
Robert Wood Johnson Medical School (UMDNJ),USA,New Jersey,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
UMDNJ School of Osteopathic Medicine,USA,New Jersey,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Trichur Medical College (Univ of Calicut),India,NA,NA,NA,NA
Universidad Autonoma De Guadalajara,Mexico,NA,NA,NA,NA
New Jersey Medical School (UMDNJ),USA,New Jersey,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Assiut University,Egypt,NA,NA,NA,NA
Weill Cornell Medical College in Qatar,Qatar,NA,NA,NA,NA
Nishtar Med Coll (Bahuddin Zakaria University),Pakistan,NA,NA,NA,NA
Seton Hall University,USA,New Jersey,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
University of Benin,Nigeria,NA,NA,NA,NA
University of New Mexico School of Medicine,USA,New Mexico,4 - WEST,8 - MOUNTAIN,
New York Medical College (Valhalla),USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
State U. of New York (SUNY Downstate) at Brooklyn,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Ponce School of Medicine (Puerto Rico),Puerto Rico,NA,NA,NA,NA
University of Saskatchewan College of Medicine,Canada,Saskatchewan,NA,NA,NA
Wagner College at Staten Island Univ. Hospital,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
State U. of New York (SUNY) at Stony Brook,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
State U. of New York (SUNY Upstate) at Syracuse,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
New York College of Osteopathic Medicine,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
COLUMBIA UNIVERSITY,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
State U. of New York (SUNY) at Buffalo,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
University of Graz,Austria,NA,NA,NA,NA
New York Institute of Tech. (NY Coll of Osteo Med),USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Yeshiva Univ. (Albert Einstein College of Med.),USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Albany Medical College (Union University),USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Cornell University Medical College,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
University of Rochester School of Medicine,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
LeMoyne College,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
New York University School of Medicine,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Chennai Medical College,India,NA,NA,NA,NA
Pontificia Universidad Católica Madre y Maestra,Dominican Republic,NA,NA,NA,NA
Columbia University College of Physicians/Surgeons,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Union University (Albany Medical College),USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
New York University School of Nursing,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Touro College School of Health Sciences,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Hudson Valley Community College,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Albert Einstein College of Medicine (Yeshiv Univ.),USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Albany Medical College,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Jawaharlal Institute at Pondicherry University,India,NA,NA,NA,NA
Osmania Medical College,India,NA,NA,NA,NA
Russell Sage College,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Long Island University,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Jawaharlal Nehru Medical College,India,NA,NA,NA,NA
M S Ramaiah Medical College,India,NA,NA,NA,NA
Columbia University School of Nursing,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
New York University,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Fukuoka University,Japan,NA,NA,NA,NA
City University of New York (Mt. Sinai Sch of Med),USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Stony Brook University,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Pace University,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Saint John Fisher College,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Mt. Sinai School of Medicine (City Univ. of N.Y.),USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
D'Youville College,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
COLUMBIA UNVIERSITY,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
University of Paris,France,NA,NA,NA,NA
Hunter College,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
University of Sao Paulo,Brazil,NA,NA,NA,NA
Rawalpindi Medical College,Pakistan,NA,NA,NA,NA
Columbia University in the City of New York,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
University of Santo Tomas,Philippines,NA,NA,NA,NA
Kakatiya Medical College,India,NA,NA,NA,NA
Suffolk County Community College,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Government Medical College (University of Kashmir),India,NA,NA,NA,NA
ST LUKES HOSPITAL,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Panjabrao Alias Bhausaheb Deshmukh Mem Med Col,India,NA,NA,NA,NA
Daemen College,USA,New York,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Kasr El Aini Fac Med (Cairo Univ),Egypt,NA,NA,NA,NA
Wake Forest University,USA,North Carolina,3 - SOUTH,5 - SOUTH ATLANTIC,
